Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Afghanistan","Yield","Eggs, hen, in shell","2020","100mg/An","19130"
"Crops and livestock products","Afghanistan","Yield","Eggs, hen, in shell","2020","No/An","38"
"Crops and livestock products","Albania","Yield","Eggs, hen, in shell","2020","100mg/An","108358"
"Crops and livestock products","Albania","Yield","Eggs, hen, in shell","2020","No/An","172"
"Crops and livestock products","Algeria","Yield","Eggs, hen, in shell","2020","100mg/An","130453"
"Crops and livestock products","Algeria","Yield","Eggs, hen, in shell","2020","No/An","261"
"Crops and livestock products","Angola","Yield","Eggs, hen, in shell","2020","100mg/An","56781"
"Crops and livestock products","Angola","Yield","Eggs, hen, in shell","2020","No/An","107"
"Crops and livestock products","Antigua and Barbuda","Yield","Eggs, hen, in shell","2020","100mg/An","48346"
"Crops and livestock products","Antigua and Barbuda","Yield","Eggs, hen, in shell","2020","No/An","97"
"Crops and livestock products","Argentina","Yield","Eggs, hen, in shell","2020","100mg/An","194866"
"Crops and livestock products","Argentina","Yield","Eggs, hen, in shell","2020","No/An","332"
"Crops and livestock products","Armenia","Yield","Eggs, hen, in shell","2020","100mg/An","138459"
"Crops and livestock products","Armenia","Yield","Eggs, hen, in shell","2020","No/An","277"
"Crops and livestock products","Australia","Yield","Eggs, hen, in shell","2020","100mg/An","150134"
"Crops and livestock products","Australia","Yield","Eggs, hen, in shell","2020","No/An","268"
"Crops and livestock products","Austria","Yield","Eggs, hen, in shell","2020","100mg/An","170263"
"Crops and livestock products","Azerbaijan","Yield","Eggs, hen, in shell","2020","100mg/An","79178"
"Crops and livestock products","Azerbaijan","Yield","Eggs, hen, in shell","2020","No/An","132"
"Crops and livestock products","Bahamas","Yield","Eggs, hen, in shell","2020","100mg/An","75603"
"Crops and livestock products","Bahamas","Yield","Eggs, hen, in shell","2020","No/An","189"
"Crops and livestock products","Bahrain","Yield","Eggs, hen, in shell","2020","100mg/An","109667"
"Crops and livestock products","Bahrain","Yield","Eggs, hen, in shell","2020","No/An","224"
"Crops and livestock products","Bangladesh","Yield","Eggs, hen, in shell","2020","100mg/An","24615"
"Crops and livestock products","Bangladesh","Yield","Eggs, hen, in shell","2020","No/An","54"
"Crops and livestock products","Barbados","Yield","Eggs, hen, in shell","2020","100mg/An","34895"
"Crops and livestock products","Barbados","Yield","Eggs, hen, in shell","2020","No/An","71"
"Crops and livestock products","Belarus","Yield","Eggs, hen, in shell","2020","100mg/An","100969"
"Crops and livestock products","Belarus","Yield","Eggs, hen, in shell","2020","No/An","180"
"Crops and livestock products","Belgium","Yield","Eggs, hen, in shell","2020","100mg/An","123502"
"Crops and livestock products","Belgium","Yield","Eggs, hen, in shell","2020","No/An","221"
"Crops and livestock products","Belize","Yield","Eggs, hen, in shell","2020","100mg/An","52228"
"Crops and livestock products","Belize","Yield","Eggs, hen, in shell","2020","No/An","104"
"Crops and livestock products","Benin","Yield","Eggs, hen, in shell","2020","100mg/An","9208"
"Crops and livestock products","Benin","Yield","Eggs, hen, in shell","2020","No/An","18"
"Crops and livestock products","Bhutan","Yield","Eggs, hen, in shell","2020","100mg/An","52776"
"Crops and livestock products","Bhutan","Yield","Eggs, hen, in shell","2020","No/An","129"
"Crops and livestock products","Bolivia (Plurinational State of)","Yield","Eggs, hen, in shell","2020","100mg/An","49307"
"Crops and livestock products","Bolivia (Plurinational State of)","Yield","Eggs, hen, in shell","2020","No/An","99"
"Crops and livestock products","Bosnia and Herzegovina","Yield","Eggs, hen, in shell","2020","100mg/An","63702"
"Crops and livestock products","Bosnia and Herzegovina","Yield","Eggs, hen, in shell","2020","No/An","191"
"Crops and livestock products","Botswana","Yield","Eggs, hen, in shell","2020","100mg/An","50975"
"Crops and livestock products","Botswana","Yield","Eggs, hen, in shell","2020","No/An","106"
"Crops and livestock products","Brazil","Yield","Eggs, hen, in shell","2020","100mg/An","129107"
"Crops and livestock products","Brazil","Yield","Eggs, hen, in shell","2020","No/An","227"
"Crops and livestock products","Brunei Darussalam","Yield","Eggs, hen, in shell","2020","100mg/An","84265"
"Crops and livestock products","Brunei Darussalam","Yield","Eggs, hen, in shell","2020","No/An","148"
"Crops and livestock products","Bulgaria","Yield","Eggs, hen, in shell","2020","100mg/An","128526"
"Crops and livestock products","Bulgaria","Yield","Eggs, hen, in shell","2020","No/An","230"
"Crops and livestock products","Burkina Faso","Yield","Eggs, hen, in shell","2020","100mg/An","29376"
"Crops and livestock products","Burkina Faso","Yield","Eggs, hen, in shell","2020","No/An","67"
"Crops and livestock products","Burundi","Yield","Eggs, hen, in shell","2020","100mg/An","30975"
"Crops and livestock products","Burundi","Yield","Eggs, hen, in shell","2020","No/An","88"
"Crops and livestock products","Cabo Verde","Yield","Eggs, hen, in shell","2020","100mg/An","60847"
"Crops and livestock products","Cabo Verde","Yield","Eggs, hen, in shell","2020","No/An","124"
"Crops and livestock products","Cambodia","Yield","Eggs, hen, in shell","2020","100mg/An","37444"
"Crops and livestock products","Cambodia","Yield","Eggs, hen, in shell","2020","No/An","96"
"Crops and livestock products","Cameroon","Yield","Eggs, hen, in shell","2020","100mg/An","34459"
"Crops and livestock products","Cameroon","Yield","Eggs, hen, in shell","2020","No/An","88"
"Crops and livestock products","Canada","Yield","Eggs, hen, in shell","2020","100mg/An","177063"
"Crops and livestock products","Canada","Yield","Eggs, hen, in shell","2020","No/An","295"
"Crops and livestock products","Central African Republic","Yield","Eggs, hen, in shell","2020","100mg/An","33780"
"Crops and livestock products","Central African Republic","Yield","Eggs, hen, in shell","2020","No/An","84"
"Crops and livestock products","Chad","Yield","Eggs, hen, in shell","2020","100mg/An","34615"
"Crops and livestock products","Chad","Yield","Eggs, hen, in shell","2020","No/An","77"
"Crops and livestock products","Chile","Yield","Eggs, hen, in shell","2020","100mg/An","179506"
"Crops and livestock products","Chile","Yield","Eggs, hen, in shell","2020","No/An","352"
"Crops and livestock products","China","Yield","Eggs, hen, in shell","2020","100mg/An","91988"
"Crops and livestock products","China","Yield","Eggs, hen, in shell","2020","No/An","184"
"Crops and livestock products","China, Hong Kong SAR","Yield","Eggs, hen, in shell","2020","100mg/An","41039"
"Crops and livestock products","China, Hong Kong SAR","Yield","Eggs, hen, in shell","2020","No/An","98"
"Crops and livestock products","China, Macao SAR","Yield","Eggs, hen, in shell","2020","100mg/An","38991"
"Crops and livestock products","China, Macao SAR","Yield","Eggs, hen, in shell","2020","No/An","78"
"Crops and livestock products","China, mainland","Yield","Eggs, hen, in shell","2020","100mg/An","91924"
"Crops and livestock products","China, mainland","Yield","Eggs, hen, in shell","2020","No/An","184"
"Crops and livestock products","China, Taiwan Province of","Yield","Eggs, hen, in shell","2020","100mg/An","96952"
"Crops and livestock products","China, Taiwan Province of","Yield","Eggs, hen, in shell","2020","No/An","188"
"Crops and livestock products","Colombia","Yield","Eggs, hen, in shell","2020","100mg/An","160688"
"Crops and livestock products","Colombia","Yield","Eggs, hen, in shell","2020","No/An","268"
"Crops and livestock products","Comoros","Yield","Eggs, hen, in shell","2020","100mg/An","54851"
"Crops and livestock products","Comoros","Yield","Eggs, hen, in shell","2020","No/An","110"
"Crops and livestock products","Congo","Yield","Eggs, hen, in shell","2020","100mg/An","28327"
"Crops and livestock products","Congo","Yield","Eggs, hen, in shell","2020","No/An","86"
"Crops and livestock products","Cook Islands","Yield","Eggs, hen, in shell","2020","100mg/An","60000"
"Crops and livestock products","Cook Islands","Yield","Eggs, hen, in shell","2020","No/An","150"
"Crops and livestock products","Costa Rica","Yield","Eggs, hen, in shell","2020","100mg/An","215708"
"Crops and livestock products","Costa Rica","Yield","Eggs, hen, in shell","2020","No/An","360"
"Crops and livestock products","Côte d'Ivoire","Yield","Eggs, hen, in shell","2020","100mg/An","132000"
"Crops and livestock products","Côte d'Ivoire","Yield","Eggs, hen, in shell","2020","No/An","293"
"Crops and livestock products","Croatia","Yield","Eggs, hen, in shell","2020","100mg/An","50084"
"Crops and livestock products","Croatia","Yield","Eggs, hen, in shell","2020","No/An","91"
"Crops and livestock products","Cuba","Yield","Eggs, hen, in shell","2020","100mg/An","115457"
"Crops and livestock products","Cuba","Yield","Eggs, hen, in shell","2020","No/An","262"
"Crops and livestock products","Cyprus","Yield","Eggs, hen, in shell","2020","100mg/An","130501"
"Crops and livestock products","Cyprus","Yield","Eggs, hen, in shell","2020","No/An","242"
"Crops and livestock products","Czechia","Yield","Eggs, hen, in shell","2020","100mg/An","162863"
"Crops and livestock products","Czechia","Yield","Eggs, hen, in shell","2020","No/An","286"
"Crops and livestock products","Democratic People's Republic of Korea","Yield","Eggs, hen, in shell","2020","100mg/An","80887"
"Crops and livestock products","Democratic People's Republic of Korea","Yield","Eggs, hen, in shell","2020","No/An","162"
"Crops and livestock products","Democratic Republic of the Congo","Yield","Eggs, hen, in shell","2020","100mg/An","30548"
"Crops and livestock products","Democratic Republic of the Congo","Yield","Eggs, hen, in shell","2020","No/An","95"
"Crops and livestock products","Denmark","Yield","Eggs, hen, in shell","2020","100mg/An","188470"
"Crops and livestock products","Denmark","Yield","Eggs, hen, in shell","2020","No/An","345"
"Crops and livestock products","Dominica","Yield","Eggs, hen, in shell","2020","100mg/An","56200"
"Crops and livestock products","Dominica","Yield","Eggs, hen, in shell","2020","No/An","125"
"Crops and livestock products","Dominican Republic","Yield","Eggs, hen, in shell","2020","100mg/An","146618"
"Crops and livestock products","Dominican Republic","Yield","Eggs, hen, in shell","2020","No/An","202"
"Crops and livestock products","Ecuador","Yield","Eggs, hen, in shell","2020","100mg/An","171307"
"Crops and livestock products","Ecuador","Yield","Eggs, hen, in shell","2020","No/An","286"
"Crops and livestock products","Egypt","Yield","Eggs, hen, in shell","2020","100mg/An","134216"
"Crops and livestock products","Egypt","Yield","Eggs, hen, in shell","2020","No/An","336"
"Crops and livestock products","El Salvador","Yield","Eggs, hen, in shell","2020","100mg/An","105002"
"Crops and livestock products","El Salvador","Yield","Eggs, hen, in shell","2020","No/An","210"
"Crops and livestock products","Equatorial Guinea","Yield","Eggs, hen, in shell","2020","100mg/An","38088"
"Crops and livestock products","Equatorial Guinea","Yield","Eggs, hen, in shell","2020","No/An","100"
"Crops and livestock products","Eritrea","Yield","Eggs, hen, in shell","2020","100mg/An","38056"
"Crops and livestock products","Eritrea","Yield","Eggs, hen, in shell","2020","No/An","98"
"Crops and livestock products","Estonia","Yield","Eggs, hen, in shell","2020","100mg/An","124688"
"Crops and livestock products","Estonia","Yield","Eggs, hen, in shell","2020","No/An","180"
"Crops and livestock products","Eswatini","Yield","Eggs, hen, in shell","2020","100mg/An","58690"
"Crops and livestock products","Eswatini","Yield","Eggs, hen, in shell","2020","No/An","117"
"Crops and livestock products","Ethiopia","Yield","Eggs, hen, in shell","2020","100mg/An","46366"
"Crops and livestock products","Ethiopia","Yield","Eggs, hen, in shell","2020","No/An","103"
"Crops and livestock products","Fiji","Yield","Eggs, hen, in shell","2020","100mg/An","174647"
"Crops and livestock products","Fiji","Yield","Eggs, hen, in shell","2020","No/An","349"
"Crops and livestock products","Finland","Yield","Eggs, hen, in shell","2020","100mg/An","198846"
"Crops and livestock products","Finland","Yield","Eggs, hen, in shell","2020","No/An","364"
"Crops and livestock products","France","Yield","Eggs, hen, in shell","2020","100mg/An","216166"
"Crops and livestock products","France","Yield","Eggs, hen, in shell","2020","No/An","360"
"Crops and livestock products","French Polynesia","Yield","Eggs, hen, in shell","2020","100mg/An","262237"
"Crops and livestock products","French Polynesia","Yield","Eggs, hen, in shell","2020","No/An","495"
"Crops and livestock products","Gabon","Yield","Eggs, hen, in shell","2020","100mg/An","40000"
"Crops and livestock products","Gabon","Yield","Eggs, hen, in shell","2020","No/An","87"
"Crops and livestock products","Gambia","Yield","Eggs, hen, in shell","2020","100mg/An","38339"
"Crops and livestock products","Gambia","Yield","Eggs, hen, in shell","2020","No/An","77"
"Crops and livestock products","Georgia","Yield","Eggs, hen, in shell","2020","100mg/An","143024"
"Crops and livestock products","Georgia","Yield","Eggs, hen, in shell","2020","No/An","218"
"Crops and livestock products","Germany","Yield","Eggs, hen, in shell","2020","100mg/An","143900"
"Crops and livestock products","Germany","Yield","Eggs, hen, in shell","2020","No/An","236"
"Crops and livestock products","Ghana","Yield","Eggs, hen, in shell","2020","100mg/An","26386"
"Crops and livestock products","Ghana","Yield","Eggs, hen, in shell","2020","No/An","64"
"Crops and livestock products","Greece","Yield","Eggs, hen, in shell","2020","100mg/An","97470"
"Crops and livestock products","Grenada","Yield","Eggs, hen, in shell","2020","100mg/An","98053"
"Crops and livestock products","Grenada","Yield","Eggs, hen, in shell","2020","No/An","196"
"Crops and livestock products","Guatemala","Yield","Eggs, hen, in shell","2020","100mg/An","135426"
"Crops and livestock products","Guatemala","Yield","Eggs, hen, in shell","2020","No/An","276"
"Crops and livestock products","Guinea","Yield","Eggs, hen, in shell","2020","100mg/An","37135"
"Crops and livestock products","Guinea","Yield","Eggs, hen, in shell","2020","No/An","106"
"Crops and livestock products","Guinea-Bissau","Yield","Eggs, hen, in shell","2020","100mg/An","41314"
"Crops and livestock products","Guinea-Bissau","Yield","Eggs, hen, in shell","2020","No/An","109"
"Crops and livestock products","Guyana","Yield","Eggs, hen, in shell","2020","100mg/An","48783"
"Crops and livestock products","Guyana","Yield","Eggs, hen, in shell","2020","No/An","98"
"Crops and livestock products","Haiti","Yield","Eggs, hen, in shell","2020","100mg/An","86837"
"Crops and livestock products","Haiti","Yield","Eggs, hen, in shell","2020","No/An","193"
"Crops and livestock products","Honduras","Yield","Eggs, hen, in shell","2020","100mg/An","114667"
"Crops and livestock products","Honduras","Yield","Eggs, hen, in shell","2020","No/An","198"
"Crops and livestock products","Hungary","Yield","Eggs, hen, in shell","2020","100mg/An","91210"
"Crops and livestock products","Hungary","Yield","Eggs, hen, in shell","2020","No/An","166"
"Crops and livestock products","Iceland","Yield","Eggs, hen, in shell","2020","100mg/An","209852"
"Crops and livestock products","Iceland","Yield","Eggs, hen, in shell","2020","No/An","350"
"Crops and livestock products","India","Yield","Eggs, hen, in shell","2020","100mg/An","200211"
"Crops and livestock products","India","Yield","Eggs, hen, in shell","2020","No/An","364"
"Crops and livestock products","Indonesia","Yield","Eggs, hen, in shell","2020","100mg/An","179383"
"Crops and livestock products","Indonesia","Yield","Eggs, hen, in shell","2020","No/An","399"
"Crops and livestock products","Iran (Islamic Republic of)","Yield","Eggs, hen, in shell","2020","100mg/An","145770"
"Crops and livestock products","Iran (Islamic Republic of)","Yield","Eggs, hen, in shell","2020","No/An","243"
"Crops and livestock products","Iraq","Yield","Eggs, hen, in shell","2020","100mg/An","100359"
"Crops and livestock products","Iraq","Yield","Eggs, hen, in shell","2020","No/An","201"
"Crops and livestock products","Ireland","Yield","Eggs, hen, in shell","2020","100mg/An","115000"
"Crops and livestock products","Israel","Yield","Eggs, hen, in shell","2020","100mg/An","160780"
"Crops and livestock products","Israel","Yield","Eggs, hen, in shell","2020","No/An","246"
"Crops and livestock products","Italy","Yield","Eggs, hen, in shell","2020","100mg/An","97546"
"Crops and livestock products","Italy","Yield","Eggs, hen, in shell","2020","No/An","174"
"Crops and livestock products","Jamaica","Yield","Eggs, hen, in shell","2020","100mg/An","130150"
"Crops and livestock products","Jamaica","Yield","Eggs, hen, in shell","2020","No/An","241"
"Crops and livestock products","Japan","Yield","Eggs, hen, in shell","2020","100mg/An","172591"
"Crops and livestock products","Japan","Yield","Eggs, hen, in shell","2020","No/An","288"
"Crops and livestock products","Jordan","Yield","Eggs, hen, in shell","2020","100mg/An","384884"
"Crops and livestock products","Jordan","Yield","Eggs, hen, in shell","2020","No/An","641"
"Crops and livestock products","Kazakhstan","Yield","Eggs, hen, in shell","2020","100mg/An","121428"
"Crops and livestock products","Kazakhstan","Yield","Eggs, hen, in shell","2020","No/An","243"
"Crops and livestock products","Kenya","Yield","Eggs, hen, in shell","2020","100mg/An","52961"
"Crops and livestock products","Kenya","Yield","Eggs, hen, in shell","2020","No/An","106"
"Crops and livestock products","Kiribati","Yield","Eggs, hen, in shell","2020","100mg/An","24455"
"Crops and livestock products","Kiribati","Yield","Eggs, hen, in shell","2020","No/An","53"
"Crops and livestock products","Kuwait","Yield","Eggs, hen, in shell","2020","100mg/An","85998"
"Crops and livestock products","Kuwait","Yield","Eggs, hen, in shell","2020","No/An","139"
"Crops and livestock products","Kyrgyzstan","Yield","Eggs, hen, in shell","2020","100mg/An","67334"
"Crops and livestock products","Kyrgyzstan","Yield","Eggs, hen, in shell","2020","No/An","122"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Eggs, hen, in shell","2020","100mg/An","61415"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Eggs, hen, in shell","2020","No/An","123"
"Crops and livestock products","Latvia","Yield","Eggs, hen, in shell","2020","100mg/An","157013"
"Crops and livestock products","Latvia","Yield","Eggs, hen, in shell","2020","No/An","262"
